img_1,img_2,dist
m.0bxsfw_0001.jpg,m.0bxsfw_0002.jpg,1.2484285831451416
m.027lfrs_0003.jpg,m.027lfrs_0002.jpg,1.3193349838256836
m.0bkxbw_0003.jpg,m.0bkxbw_0002.jpg,1.0616724491119385
m.05r49f_0001.jpg,m.09gfsng_0001.jpg,1.3568501472473145
m.01txlkt_0005.jpg,m.0ff6p1_0002.jpg,1.1818385124206543
m.02rd2z7_0002.jpg,m.02rd2z7_0001.jpg,1.0305300951004028
m.03cvfkn_0002.jpg,m.03cvfkn_0003.jpg,1.275522232055664
m.07kd1h0_0002.jpg,m.0gyd4y_0002.jpg,1.4439982175827026
m.04n1s8l_0003.jpg,m.03_80b_0002.jpg,1.3431408405303955
m.0g59dq6_0002.jpg,m.0g59dq6_0003.jpg,1.349379062652588
m.03zp0s_0001.jpg,m.03zp0s_0004.jpg,1.34219229221344
m.0ff6p1_0003.jpg,m.0ff6p1_0004.jpg,1.0201729536056519
m.0gc136t_0004.jpg,m.0gc136t_0001.jpg,1.2476632595062256
m.027tnky_0001.jpg,m.027tnky_0003.jpg,1.0300716161727905
m.0cp08gq_0001.jpg,m.02qf_k6_0004.jpg,1.2466224431991577
m.0j3g1d2_0003.jpg,m.03h24_z_0002.jpg,1.3912793397903442
m.047nyc5_0004.jpg,m.047nyc5_0005.jpg,1.2163671255111694
m.0q57sjr_0003.jpg,m.0hh41q__0001.jpg,1.334558129310608
m.0glnnsy_0002.jpg,m.0nd2yh0_0002.jpg,1.2956058979034424
m.01rpc2r_0003.jpg,m.01rpc2r_0005.jpg,1.2340116500854492
m.079ff6_0002.jpg,m.04v_0f_0002.jpg,1.3200600147247314
m.0kf9zwb_0004.jpg,m.0kf9zwb_0003.jpg,1.1717348098754883
m.03f14t3_0001.jpg,m.0403y4q_0004.jpg,1.3013542890548706
m.05z2dc_0001.jpg,m.05z2dc_0003.jpg,1.3345813751220703
m.0g5nr1_0003.jpg,m.0g5nr1_0002.jpg,1.2257115840911865
m.0267_nc_0001.jpg,m.05gkqv_0003.jpg,1.3702116012573242
m.064nyf_0003.jpg,m.064nyf_0002.jpg,1.2359156608581543
m.026syhg_0002.jpg,m.06_473_0003.jpg,1.395347237586975
m.01c_qf_0003.jpg,m.01c_qf_0001.jpg,1.1048130989074707
