img_1,img_2,dist
m.0bxsfw_0001.jpg,m.0bxsfw_0002.jpg,0.7748653
m.027lfrs_0003.jpg,m.027lfrs_0002.jpg,0.8604692
m.0bkxbw_0003.jpg,m.0bkxbw_0002.jpg,0.6091335
m.05r49f_0001.jpg,m.09gfsng_0001.jpg,0.8282994
m.01txlkt_0005.jpg,m.0ff6p1_0002.jpg,0.72113216
m.02rd2z7_0002.jpg,m.02rd2z7_0001.jpg,0.6418102
m.03cvfkn_0002.jpg,m.03cvfkn_0003.jpg,0.6496012
m.07kd1h0_0002.jpg,m.0gyd4y_0002.jpg,0.92293227
m.04n1s8l_0003.jpg,m.03_80b_0002.jpg,0.9297536
m.0g59dq6_0002.jpg,m.0g59dq6_0003.jpg,0.9036592
m.03zp0s_0001.jpg,m.03zp0s_0004.jpg,0.6055486
m.0ff6p1_0003.jpg,m.0ff6p1_0004.jpg,0.703274
m.0gc136t_0004.jpg,m.0gc136t_0001.jpg,0.7683784
m.027tnky_0001.jpg,m.027tnky_0003.jpg,0.73193604
m.0cp08gq_0001.jpg,m.02qf_k6_0004.jpg,0.78191024
m.0j3g1d2_0003.jpg,m.03h24_z_0002.jpg,0.9494367
m.047nyc5_0004.jpg,m.047nyc5_0005.jpg,0.78068006
m.0q57sjr_0003.jpg,m.0hh41q__0001.jpg,0.83851916
m.0glnnsy_0002.jpg,m.0nd2yh0_0002.jpg,0.84133554
m.01rpc2r_0003.jpg,m.01rpc2r_0005.jpg,0.7682013
m.079ff6_0002.jpg,m.04v_0f_0002.jpg,0.69162285
m.0kf9zwb_0004.jpg,m.0kf9zwb_0003.jpg,0.7805151
m.03f14t3_0001.jpg,m.0403y4q_0004.jpg,0.91672164
m.05z2dc_0001.jpg,m.05z2dc_0003.jpg,0.6692749
m.0g5nr1_0003.jpg,m.0g5nr1_0002.jpg,0.6595125
m.0267_nc_0001.jpg,m.05gkqv_0003.jpg,0.9149707
m.064nyf_0003.jpg,m.064nyf_0002.jpg,0.72822315
m.026syhg_0002.jpg,m.06_473_0003.jpg,0.88189393
m.01c_qf_0003.jpg,m.01c_qf_0001.jpg,0.6156244
m.0cxmp6_0001.jpg,m.0cxmp6_0002.jpg,0.71537775
m.043k6hj_0002.jpg,m.07l8mg_0002.jpg,0.755518
m.0fqb1w5_0003.jpg,m.07t_zd_0002.jpg,0.8822493
m.0h4svr_0003.jpg,m.0bwjc2c_0003.jpg,0.80028987
m.0265y64_0001.jpg,m.04ghd8_0004.jpg,0.7334355
m.0nd4z7c_0001.jpg,m.09v3bhx_0005.jpg,0.621558
m.0g5r8hb_0003.jpg,m.0g5r8hb_0001.jpg,0.51220334
m.02z235f_0003.jpg,m.07qckf_0002.jpg,0.9693147
m.02z52lv_0001.jpg,m.02z52lv_0002.jpg,0.7176958
m.05f4w4t_0002.jpg,m.05f4w4t_0001.jpg,0.66955876
m.097fys_0001.jpg,m.026bk9q_0001.jpg,0.940573
m.03z8y7j_0001.jpg,m.03z8y7j_0002.jpg,0.6919638
m.0gtvkxj_0001.jpg,m.03nttym_0002.jpg,0.99763024
m.03d6tz_0003.jpg,m.02k7h7_0001.jpg,0.70132315
m.0768sp_0001.jpg,m.0768sp_0002.jpg,0.7994585
m.04xmzd_0001.jpg,m.0gfdn_j_0002.jpg,0.9550899
