img_1,img_2,dist
m.0bxsfw_0001.jpg,m.0bxsfw_0002.jpg,0.8930574
m.027lfrs_0003.jpg,m.027lfrs_0002.jpg,0.8823348
m.0bkxbw_0003.jpg,m.0bkxbw_0002.jpg,0.75659704
m.05r49f_0001.jpg,m.09gfsng_0001.jpg,1.0506734
m.01txlkt_0005.jpg,m.0ff6p1_0002.jpg,1.0042934
m.02rd2z7_0002.jpg,m.02rd2z7_0001.jpg,0.90372646
m.03cvfkn_0002.jpg,m.03cvfkn_0003.jpg,0.74417967
m.07kd1h0_0002.jpg,m.0gyd4y_0002.jpg,1.1501483
m.04n1s8l_0003.jpg,m.03_80b_0002.jpg,1.0801462
m.0g59dq6_0002.jpg,m.0g59dq6_0003.jpg,0.90983045
m.03zp0s_0001.jpg,m.03zp0s_0004.jpg,0.77642006
m.0ff6p1_0003.jpg,m.0ff6p1_0004.jpg,0.7933858
m.0gc136t_0004.jpg,m.0gc136t_0001.jpg,0.8802089
m.027tnky_0001.jpg,m.027tnky_0003.jpg,0.7450599
m.0cp08gq_0001.jpg,m.02qf_k6_0004.jpg,0.99865824
m.0j3g1d2_0003.jpg,m.03h24_z_0002.jpg,1.0211529
m.047nyc5_0004.jpg,m.047nyc5_0005.jpg,0.9180838
m.0q57sjr_0003.jpg,m.0hh41q__0001.jpg,1.0705664
m.0glnnsy_0002.jpg,m.0nd2yh0_0002.jpg,0.9060159
m.01rpc2r_0003.jpg,m.01rpc2r_0005.jpg,0.77471876
m.079ff6_0002.jpg,m.04v_0f_0002.jpg,1.0453148
m.0kf9zwb_0004.jpg,m.0kf9zwb_0003.jpg,0.7624881
m.03f14t3_0001.jpg,m.0403y4q_0004.jpg,1.0637985
m.05z2dc_0001.jpg,m.05z2dc_0003.jpg,0.7395524
m.0g5nr1_0003.jpg,m.0g5nr1_0002.jpg,0.7794916
m.0267_nc_0001.jpg,m.05gkqv_0003.jpg,1.0468153
m.064nyf_0003.jpg,m.064nyf_0002.jpg,0.8593823
m.026syhg_0002.jpg,m.06_473_0003.jpg,0.97411126
m.01c_qf_0003.jpg,m.01c_qf_0001.jpg,0.67255604
m.0cxmp6_0001.jpg,m.0cxmp6_0002.jpg,0.831429
m.043k6hj_0002.jpg,m.07l8mg_0002.jpg,0.76545155
m.0fqb1w5_0003.jpg,m.07t_zd_0002.jpg,1.0185965
m.0h4svr_0003.jpg,m.0bwjc2c_0003.jpg,0.9782808
m.0265y64_0001.jpg,m.04ghd8_0004.jpg,0.9292596
m.0nd4z7c_0001.jpg,m.09v3bhx_0005.jpg,0.671954
m.0g5r8hb_0003.jpg,m.0g5r8hb_0001.jpg,0.6596759
m.02z235f_0003.jpg,m.07qckf_0002.jpg,1.0316572
m.02z52lv_0001.jpg,m.02z52lv_0002.jpg,0.67983896
